ID;SID;x;y;z
664;87;16.50;102.25;111.65
665;88;16.00;102.25;111.70
666;88;16.00;102.25;111.65
667;88;16.00;102.75;111.70
668;88;16.00;102.75;111.65
669;88;16.50;102.25;111.70
670;88;16.50;102.25;111.65
671;88;16.50;102.75;111.70
672;88;16.50;102.75;111.65
673;89;16.50;102.25;111.70
674;89;16.50;102.25;111.65
675;89;16.50;102.75;111.70
676;89;16.50;102.75;111.65
677;89;17.00;102.25;111.70
678;89;17.00;102.25;111.65
679;89;17.00;102.75;111.70
680;89;17.00;102.75;111.65
681;90;16.50;101.75;111.70
682;90;16.50;101.75;111.65
683;90;16.50;102.25;111.70
684;90;16.50;102.25;111.65
685;90;17.00;101.75;111.70
686;90;17.00;101.75;111.65
687;90;17.00;102.25;111.70
688;90;17.00;102.25;111.65
689;97;17.00;101.75;111.70
690;97;17.00;101.75;111.65
691;97;17.00;102.25;111.70
692;97;17.00;102.25;111.65
693;97;17.50;101.75;111.70
694;97;17.50;101.75;111.65
695;97;17.50;102.25;111.70
696;97;17.50;102.25;111.65
697;83;16.00;100.75;111.70
698;83;16.00;100.75;111.65
699;83;16.00;101.25;111.70
700;83;16.00;101.25;111.65
701;83;16.50;100.75;111.70
702;83;16.50;100.75;111.65
703;83;16.50;101.25;111.70
704;83;16.50;101.25;111.65
705;84;16.00;101.25;111.70
706;84;16.00;101.25;111.65
707;84;16.00;101.75;111.70
708;84;16.00;101.75;111.65
709;84;16.50;101.25;111.70
710;84;16.50;101.25;111.65
711;84;16.50;101.75;111.70
712;84;16.50;101.75;111.65
713;85;16.50;101.25;111.70
714;85;16.50;101.25;111.65
715;85;16.50;101.75;111.70
716;85;16.50;101.75;111.65
717;85;17.00;101.25;111.70
718;85;17.00;101.25;111.65
719;85;17.00;101.75;111.70
720;85;17.00;101.75;111.65
721;86;16.50;100.75;111.70
722;86;16.50;100.75;111.65
723;86;16.50;101.25;111.70
724;86;16.50;101.25;111.65
725;86;17.00;100.75;111.70
726;86;17.00;100.75;111.65
727;86;17.00;101.25;111.70
728;86;17.00;101.25;111.65
729;91;17.00;100.75;111.70
730;91;17.00;100.75;111.65
731;91;17.00;101.25;111.70
732;91;17.00;101.25;111.65
733;91;17.50;100.75;111.70
734;91;17.50;100.75;111.65
735;91;17.50;101.25;111.70
736;91;17.50;101.25;111.65
737;92;17.00;101.25;111.70
738;92;17.00;101.25;111.65
739;92;17.00;101.75;111.70
740;92;17.00;101.75;111.65
741;92;17.50;101.25;111.70
742;92;17.50;101.25;111.65
743;92;17.50;101.75;111.70
744;92;17.50;101.75;111.65
745;93;17.50;101.25;111.70
746;93;17.50;101.25;111.65
